field_type,date,impressions,clicks,cost_micros
Callout,2022-03-17,9778507,985367,36671296335027
Callout,2022-03-18,9778113,1095781,37536300137224
Callout,2022-03-19,10652007,1019398,18875547308724
Callout,2022-03-20,10994276,1045853,18680247922523
Callout,2022-03-21,9580728,997753,29209472551551
Callout,2022-03-22,10025470,957680,29150981465534
Callout,2022-03-23,9290516,985868,29247349788511
Callout,2022-03-24,9073145,972812,31056010065393
Callout,2022-03-25,8967613,981292,35008851434426
Callout,2022-03-26,9671070,976100,30562626024292
Callout,2022-03-27,9689238,968821,25792990093447
Callout,2022-03-28,9139764,954818,32826320043500
Callout,2022-03-29,8192510,948063,29755545818324
Callout,2022-03-30,8154079,926068,28884335049607
Callout,2022-03-31,8111981,940549,25951841842541
Callout,2022-04-01,8669413,1039443,25003440839735
Callout,2022-04-02,8267908,1040694,23137840260506
Callout,2022-04-03,8074133,1032845,21948212832785
Callout,2022-04-04,7800803,927166,28567695828816
Callout,2022-04-05,7651186,905244,27316635274695
Callout,2022-04-06,7807992,876662,26119326256683
Callout,2022-04-07,7694982,868688,26283574232318
Callout,2022-04-08,7471416,866484,22065046426864
Callout,2022-04-09,2224550,303646,13037199851718
Sitelink,2022-01-01,22478,2191,29757130000
Sitelink,2022-01-02,30845,3024,39372910000
Sitelink,2022-01-03,34871,3233,49812100000
Sitelink,2022-01-04,36079,3533,51427240000
Sitelink,2022-01-05,35057,3249,45974520000
Sitelink,2022-01-06,34985,3111,43452020000
Sitelink,2022-01-07,34692,3139,47811530000
Sitelink,2022-01-08,25553,2214,30433440000
Sitelink,2022-01-09,33682,2970,32832650000
Sitelink,2022-01-10,43635,3981,48634200000
Sitelink,2022-01-11,47697,4079,48793590000
Sitelink,2022-01-12,54866,4675,53318750000
Sitelink,2022-01-13,52979,4470,52545330000
Sitelink,2022-01-14,48556,4119,42992870000
Sitelink,2022-01-15,30832,2522,29239540000
Sitelink,2022-01-16,45032,3797,32133340000
Sitelink,2022-01-17,62886,4726,52616070000
Sitelink,2022-01-18,59690,4689,55172270000
Sitelink,2022-01-19,56495,4480,55369830000
Sitelink,2022-01-20,52929,4039,54540180000
Sitelink,2022-01-21,49680,3846,48004960000
Sitelink,2022-01-22,33018,2559,33714150000
Sitelink,2022-01-23,43045,3397,35625490000
Sitelink,2022-01-24,61995,4684,53019540000
Sitelink,2022-01-25,56689,4685,56089290000
Sitelink,2022-01-26,48250,3866,52791130000
Sitelink,2022-01-27,46552,3966,51283320000
Sitelink,2022-01-28,55989,4312,47961060000
Sitelink,2022-01-29,37367,3091,34632360000
Sitelink,2022-01-30,51983,4376,37093050000
Sitelink,2022-01-31,68563,5301,52528550000
Sitelink,2022-02-01,62004,4800,55135025315
Sitelink,2022-02-02,61387,4828,60161143164
Sitelink,2022-02-03,67634,6496,57830178543
Sitelink,2022-02-04,91084,9327,67301643031
Sitelink,2022-02-05,71216,8312,49907924833
Sitelink,2022-02-06,87581,10369,51397013610
Sitelink,2022-02-07,116550,12157,70273212440
Sitelink,2022-02-08,237613,20997,96125443357
Sitelink,2022-02-09,353575,35746,102451725827
Sitelink,2022-02-10,1022953,127778,294874141407
Sitelink,2022-02-11,1654296,248085,611409787077
Sitelink,2022-02-12,2212696,380661,1819397680279
Sitelink,2022-02-13,2650926,465339,2859854415247
Sitelink,2022-02-14,2874141,481173,3748253959843
Sitelink,2022-02-15,2957482,486887,3465019049944
Sitelink,2022-02-16,4232965,504440,3637667946124
Sitelink,2022-02-17,9015793,837361,6153082398686
Sitelink,2022-02-18,9339796,876736,6266967189005
Sitelink,2022-02-19,9750746,888853,6009124469188
Sitelink,2022-02-20,10077533,901934,5617522897906
Sitelink,2022-02-21,9203623,836273,5563446948836
Sitelink,2022-02-22,9147393,806289,5076948846611
Sitelink,2022-02-23,10459915,824416,5933442776805
Sitelink,2022-02-24,10984950,805684,5691983809853
Sitelink,2022-02-25,11147402,815107,6059024731040
Sitelink,2022-02-26,12051526,853372,6714102594542
Sitelink,2022-02-27,11785120,850682,6716192076184
Sitelink,2022-02-28,10759278,803606,6056986831842
Sitelink,2022-03-01,9557239,831677,6554983523045
Sitelink,2022-03-02,9170617,793140,6700727519729
Sitelink,2022-03-03,9231341,835047,7296792143526
Sitelink,2022-03-04,9479678,914556,6217210473378
Sitelink,2022-03-05,10319132,1004386,7434217716222
Sitelink,2022-03-06,10517904,1053781,7517553685428
Sitelink,2022-03-07,10128071,976633,6816542042630
Sitelink,2022-03-08,9356317,803130,6299725546899
Sitelink,2022-03-09,10966541,1294926,19347946241318
Sitelink,2022-03-10,10077088,1262813,32106998779628
Sitelink,2022-03-11,8820086,1078831,34362665043614
Sitelink,2022-03-12,10105845,1271605,34383532378633
Sitelink,2022-03-13,10339911,1252854,31590137778621
Sitelink,2022-03-14,9615080,1213693,43862564097523
Sitelink,2022-03-15,8617656,1140124,39083987886142
Sitelink,2022-03-16,8429778,1137849,42677350936706
Sitelink,2022-03-17,8691645,1144877,42648307897409
Sitelink,2022-03-18,9084268,1186273,41544125685192
Sitelink,2022-03-19,8987185,1123653,20639447003791
Sitelink,2022-03-20,8896613,1151605,20823428857243
Sitelink,2022-03-21,9241974,1144572,33595639263544
Sitelink,2022-03-22,9254122,1106829,32681897915350
Sitelink,2022-03-23,9113905,1140427,32849732959630
Sitelink,2022-03-24,8870087,1139801,35162189750936
Sitelink,2022-03-25,8950190,1149500,40672050218921
Sitelink,2022-03-26,8320463,1111694,35325619007648
Sitelink,2022-03-27,8614107,1086928,30015783151671
Sitelink,2022-03-28,8897239,1126568,39321671495822
Sitelink,2022-03-29,8531406,1119975,35277391192093
Sitelink,2022-03-30,8121429,1088445,33830677462988
Sitelink,2022-03-31,7865201,1103251,30614109068789
Sitelink,2022-04-01,7939394,1204109,29836540380636
Sitelink,2022-04-02,8136498,1192074,27708270753578
Sitelink,2022-04-03,7801771,1173826,26512120216948
Sitelink,2022-04-04,8078087,1120430,34273419619569
Sitelink,2022-04-05,7993848,1097587,33190616798836
Sitelink,2022-04-06,7589331,1058326,32041556278176
Sitelink,2022-04-07,7511076,1043284,32261844936432
Sitelink,2022-04-08,7176394,1021567,27234378696080
Sitelink,2022-04-09,2689407,365733,15866146881560
